State,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,Median AQI,Avg_Temp
Massachusetts,2023,4736,3524,1154,52,6,0,0,132.92307692307693,40.92307692307692,52.46827230756546
Massachusetts,2024,2357,2102,249,6,0,0,0,97.3076923076923,37.84615384615385,46.92276886351738
Michigan,2009,6616,4852,1690,70,4,0,0,122.58620689655173,40.172413793103445,47.220892692447634
Michigan,2010,6743,4866,1775,99,3,0,0,119.67857142857143,40.25,49.92684271455048
Michigan,2011,6862,5007,1677,156,22,0,0,140.96428571428572,39.857142857142854,48.57797985174743
Michigan,2012,6934,4508,1913,452,55,6,0,163.46428571428572,42.607142857142854,51.061466571157275
Michigan,2013,6929,5039,1828,61,1,0,0,112.39285714285714,40.17857142857143,47.94202852553713
Michigan,2014,7658,5100,2487,70,1,0,0,111.39285714285714,42.57142857142857,45.66147799789412
Michigan,2015,7715,5273,2375,64,3,0,0,116.85714285714286,42.035714285714285,48.552166113327466
Michigan,2016,7682,5576,1939,165,2,0,0,123.60714285714286,39.785714285714285,50.47875825529772
Michigan,2017,8315,6272,1996,47,0,0,0,104.53571428571429,39.357142857142854,49.81360872374105
Michigan,2018,8168,6191,1872,99,6,0,0,121.75,38.357142857142854,48.56117127579453
Michigan,2019,8134,6529,1582,23,0,0,0,91.53571428571429,37.107142857142854,45.5949531812111
Michigan,2020,8054,6483,1470,94,7,0,0,126.88888888888889,35.51851851851852,50.76730506439074
Michigan,2021,8243,5678,2506,59,0,0,0,107.74074074074075,40.074074074074076,55.399405270284
Michigan,2022,8132,5935,2126,60,10,0,1,144.03703703703704,39.148148148148145,48.75085661407343
Michigan,2023,8215,5340,2654,177,37,7,0,167.74074074074073,42.25925925925926,50.33373128210719
Michigan,2024,2005,1523,479,1,2,0,0,75.28,39.04,47.79007019069638
Minnesota,2009,5902,3968,1905,28,1,0,0,104.04761904761905,39.38095238095238,39.65879706649368
Minnesota,2010,5975,4063,1872,40,0,0,0,107.52380952380952,38.857142857142854,43.05537332479528
Minnesota,2011,5932,4177,1731,23,1,0,0,101.38095238095238,39.0,42.640597350567546
Minnesota,2012,6199,4384,1794,20,1,0,0,102.19047619047619,38.19047619047619,37.34632119099388
Minnesota,2013,6116,4499,1612,5,0,0,0,89.4,38.0,29.746464004068017
Minnesota,2014,6570,4982,1582,6,0,0,0,93.52380952380952,36.61904761904762,23.526610715176467
Minnesota,2015,6655,5286,1347,21,1,0,0,110.76190476190476,36.095238095238095,24.88217916986301
Minnesota,2016,6709,5730,967,11,1,0,0,103.35,32.05,45.91811670901639
Minnesota,2017,6773,5392,1380,1,0,0,0,87.25,35.6,45.38832544316091
Minnesota,2018,6923,5249,1660,14,0,0,0,100.42857142857143,37.095238095238095,43.46962478219178
Minnesota,2019,6933,5715,1211,6,1,0,0,97.80952380952381,33.19047619047619,27.869069867503804
Minnesota,2020,6927,5883,1035,7,2,0,0,95.57142857142857,33.285714285714285,40.36364569398907
Minnesota,2021,6881,5043,1744,59,29,6,0,165.04761904761904,37.0,58.93664551851677
Minnesota,2022,6712,5733,975,2,2,0,0,83.52380952380952,33.714285714285715,29.823161679552395
Minnesota,2023,6986,4454,2334,164,33,1,0,167.57142857142858,41.38095238095238,48.91794895526502
Minnesota,2024,1685,1407,277,1,0,0,0,66.2,33.5,41.29761830046948
