State,County,Year,Avg_Temp
California,San Luis Obispo,2022,56.22356432755905
California,San Luis Obispo,2023,58.12082472853186
California,San Luis Obispo,2024,53.592514039473684
California,Santa Barbara,2010,57.282009421639714
California,Santa Barbara,2011,57.330609652261494
California,Santa Barbara,2012,58.23446807510899
California,Santa Barbara,2013,58.48737821399858
California,Santa Barbara,2014,61.253460513712845
California,Santa Barbara,2015,61.35692446907216
California,Santa Barbara,2016,60.09832819691578
California,Santa Barbara,2017,60.429735341612385
California,Santa Barbara,2018,59.660179305294
California,Santa Barbara,2019,58.50605507186629
California,Santa Barbara,2020,60.06417918838789
California,Santa Barbara,2021,58.75536911023851
California,Santa Barbara,2022,59.47991628938548
California,Santa Barbara,2023,58.27532421801515
California,Santa Barbara,2024,55.38133493706294
California,Santa Clara,2011,58.168351495879115
California,Santa Clara,2012,58.82922006111111
California,Santa Clara,2013,58.906127441011236
California,Santa Clara,2014,60.98165427472527
California,Santa Clara,2015,60.65235213186813
California,Santa Clara,2016,61.26709042191781
California,Santa Clara,2017,61.50325156868132
California,Santa Clara,2018,60.81074220555555
California,Santa Clara,2019,61.245654591044776
California,Santa Clara,2020,61.124078156593406
California,Santa Clara,2021,59.78571151396648
California,Santa Clara,2022,60.448849229916895
California,Santa Clara,2023,59.84143301769911
California,Santa Cruz,2010,54.271225046896554
California,Santa Cruz,2011,53.98887604560811
California,Santa Cruz,2012,55.702904153386456
California,Santa Cruz,2013,56.26968465263158
California,Santa Cruz,2014,55.59755865054602
California,Santa Cruz,2015,57.62736192561984
California,Santa Cruz,2016,56.2118779478738
California,Santa Cruz,2017,56.67460853497942
California,Santa Cruz,2018,55.73442890958904
California,Santa Cruz,2019,56.131788270233194
California,Santa Cruz,2020,56.358015741712705
California,Santa Cruz,2021,55.58838572978959
California,Santa Cruz,2022,56.13184961793103
California,Santa Cruz,2023,54.86433391391678
California,Santa Cruz,2024,54.366956629629634
California,Shasta,2010,43.02657853150685
California,Shasta,2011,42.823244106849316
California,Shasta,2012,44.319209559228646
California,Shasta,2013,44.91406780609419
California,Shasta,2014,46.729069087671235
California,Shasta,2015,46.01161330684931
California,Shasta,2016,44.52779592696629
California,Shasta,2017,45.340911517808216
California,Shasta,2018,45.35095106575343
California,Shasta,2019,44.208429214925374
California,Shasta,2020,46.1267837632312
California,Shasta,2021,46.66123355431755
California,Shasta,2022,45.08369826038781
California,Shasta,2023,43.44985919452055
California,Shasta,2024,40.338422950617286
California,Stanislaus,2010,62.35074825753424
California,Stanislaus,2011,61.52082191232877
California,Stanislaus,2012,63.01955007660738
California,Stanislaus,2013,62.34356322802197
California,Stanislaus,2014,64.322788
California,Stanislaus,2015,63.12065980851064
California,Stanislaus,2016,66.9602051724138
California,Stanislaus,2017,63.707090809352515
California,Stanislaus,2018,64.1644030637037
California,Stanislaus,2019,63.322188902739725
